Matrix,Matrix_Density,Matrix_Strenth,%Matrix,Density_R1,Strenth_R1,R1,R1%,R1_Size,Density_R2,Strenth_R2,R2,R2%,R2_Size,Stir_Speed,Stir_Time,Mix_Temp,Mould_Preheat,UTS,Porosity,Therotical Density,Exp Density
 AA6061,2.7,115,96,2.09,110,Graphite,4,50,4.5,280,TiB2,0,50,500,8,720,,91.28,0.740740741,2.7,2.68
 AA6061,2.7,115,94,2.09,110,Graphite,4,50,4.5,280,TiB2,2,50,500,8,720,,118.12,0.147112909,2.719,2.715
 AA6061,2.7,115,92,2.09,110,Graphite,4,50,4.5,280,TiB2,4,50,500,8,720,,129.93,0.907441016,2.755,2.73
 AA6061,2.7,115,90,2.09,110,Graphite,4,50,4.5,280,TiB2,6,50,500,8,720,,141.74,1.146542458,2.791,2.759
 AA6061,2.71,160,95,3.73,575,Al2O3,5,37,2.45,,Bagasse ash,0,,450,10,700,160,178,,,
 AA6061,2.71,160,87,3.73,575,Al2O3,5,37,2.45,,Bagasse ash,8,37,450,10,700,160,180,,,
 AA6061,2.71,160,87,3.73,575,Al2O3,5,37,2.45,,Bagasse ash,8,53,450,10,700,160,174,,,
 AA6061,2.71,160,87,3.73,575,Al2O3,5,37,2.45,,Bagasse ash,8,75,450,10,700,160,169,,,
 AA6061,2.71,262.5,90,3.177,137.86,SiC,10,25,4.5,280,TiB2,0,10,350,15,750,,150.1,,,
 AA6061,2.71,262.5,87.5,3.177,137.86,SiC,10,25,4.5,280,TiB2,2.5,10,350,15,750,,54.8,,,
 AA6061,2.71,262.5,85,3.177,137.86,SiC,10,25,4.5,280,TiB2,5,10,350,15,750,,97.9,,,
 AA6061,2.7,300,100,3.22,137.86,SiC,0,25,4.23,350.4,TiO2,0,50,,,850,,0,4.211111111,2.7,2.5863
 AA6061,2.7,300,95,3.22,137.86,SiC,2.5,25,4.23,350.4,TiO2,2.5,50,,,,,257.66,3.202471828,2.751,2.6629
 AA6061,2.7,300,90,3.22,137.86,SiC,5,25,4.23,350.4,TiO2,5,50,,,,,275.19,1.898305085,2.8025,2.7493
 AA6061,2.7,300,85,3.22,137.86,SiC,7.5,25,4.23,350.4,TiO2,7.5,50,,,,,284.05,1.070950469,2.988,2.956
 AA6061,2.71,305.5,100,3.21,137.86,SiC,0,45,5.68,430,ZrO2,0,45,350,,725,300,305.531,,,
 AA6061,2.71,305.5,95,3.21,137.86,SiC,2,45,5.68,430,ZrO2,3,45,350,,725,300,345.128,,,
 AA6061,2.71,305.5,93,3.21,137.86,SiC,4,45,5.68,430,ZrO2,3,45,350,,725,300,368.573,,,
 AA6061,2.71,305.5,91,3.21,137.86,SiC,6,45,5.68,430,ZrO2,3,45,350,,725,300,384.349,,,
 AA6061,2.7,260,98,3.21,137.86,SiC,0.5,0.05,2.51,350,B4C,1.5,0.05,700,,,,266.58,,,2.6997
 AA6061,2.7,260,97,3.21,137.86,SiC,1.5,0.05,2.51,350,B4C,1.5,0.05,700,,,,280.18,,,2.7048
 AA6061,2.71,260,95,3.177,137.86,SiC,5,37,2.065,18,Graphite,0,1,300,12.5,760,300,132.34,,,2.7
 AA6061,2.71,260,90,3.177,137.86,SiC,10,37,2.065,18,Graphite,0,1,300,12.5,760,300,143.46,,,2.71
 AA6061,2.71,260,85,3.177,137.86,SiC,15,37,2.065,18,Graphite,0,1,300,12.5,760,300,150.95,,,2.73
 AA6061,2.71,260,95,3.177,137.86,SiC,2.5,37,2.065,18,Graphite,2.5,1,300,12.5,760,300,144.73,,,2.66
 AA6061,2.71,260,90,3.177,137.86,SiC,5,37,2.065,18,Graphite,5,1,300,12.5,760,300,173.39,,,2.64
 AA6061,2.71,260,85,3.177,137.86,SiC,7.5,37,2.065,18,Graphite,7.5,1,300,12.5,760,300,192.45,,,2.63
 AA6061,2.72,310,100,2.17,,Fly Ash,0,50.05,0.781,,Rice Husk ,0,,425,10,680,525,350,,,
